Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
21,Positive,catch flamenco tapas oh delicious everything cooked perfectly well stood al ajillo pulpo taste difference authentic flair compared tapas places performers food flamenco dance definitely back place packed weekends possible ,definitely place authentic flamenco weekends ,1,1,1
121,Negative,good review think personal behemoths cheesesteaks seemed classier sense south slightly atlantic city strip excited seemed less worried catching eating food soft massive chunks finely chopped turn beef chopped also seemed cheesesteak around borderline ghetto lucky score blocks away establishments want alone ,cheesesteak think review around also ,0,0,0
193,Positive,green curry philadelphia hands huge shoots mind spice salad said winning see tang yum good oil control exactly little small side none less will forever fan jasmine wanted try green curry rice dish thai order ,rice yum hands shoots good ,1,1,1
103,Negative,based political views decidedly racist english political may racist racist refusing serve etc go overseas try speaking tongue good luck used good come owner son recently one bred vs want philly cheesesteak go ,cheesesteak luck based may english ,0,0,0
62,Positive,nai places really surprised quaint bar tucked show cozy cellar bar happily sangria munching came friday night whim walking rather impressed able seat within minutes served us two minutes later clearly liked order half full wonderfully liquid oranges pretty dolling one tapas trap bars charge require magnifying see selves cheap end spending arm leg nai one dishes large portions small plates running running super fresh bank food also rather noteworthy tapas mejalones avos sauce wonderfully fresh paprika bravas awesome white asparagus joke melted pimientos ala morue red peppers cod pan fried small crispy bread place legit affordable go munch eats especially excited sample ,full place fresh red show ,1,1,1
330,Negative,looking forward years forward reliving good fabulous orange slices cookies fries ice water kept increase sooo nice people great atmosphere really needed rating wierd famed pancake supreme good really wanted fluffy promised yelpers feel best pancake white omelet got white bread instead home undercooked flavor omelet egg cream realize admit price food wonderful feeling joint ,pancake great forward ice bread ,1,1,1
332,Positive,restaurant hardly needs new reviews essentials restaurant well place crowded worth wait day work go brunch sundays dinner well well eat go together add restaurant ,place day work together go ,0,0,0
173,Negative,thought make trip really sure gave basically standing order steak cheese steak sandwich tastes pretty good whiz without dw meat legitimately give now realize say ,order cheese without steak gave ,0,0,0
221,Positive,hubby point tonight homemade cheese onion sweet cashew spread amazing carmelized mushroom stuffed onion really unique red hash tasty beet concoction beans seemed little tough love root overall good restaurant open long good think bartenders staff learning place points yet lot options really thing full plate ,full place unique red bartenders ,0,0,0
119,Negative,past now tourist trap lines long mostly attractive lights encounters beef sliced ever pretty much everything cheesesteak mention look speak english cheesesteak go across review want try cash credit similar ,cheesesteak review long ever sliced ,0,0,0
158,Positive,american ask onions comes say something provolone without seriously great slightly chewy style onions delight well one soda one size fries tables people lean fence food frenzy ,onions food people style say ,1,1,1
170,Negative,true line far made experts ordered sandwich wiz onions wiz bad nacho terribly hot since make bf look repeatedly got free entertainment bites mine hurt day long next day bf gnar thing will since delicious sauce maybe ,will bf long experts next ,0,0,0
44,Positive,impressed tapas selection great making hard choose tapas good favorites wrapped served tomato awesome works well riojana think patatas mixed whether potato every happy albondiguillas estofadas savory came sauce dip bread seriously came times table see friendly even dessert liquor need sangria may fruit alcohol masked tropical also tad better also live flamenco shows week love ,alcohol times even flamenco patatas ,1,1,1
138,Negative,finally philly first wanted try night well known many times many celebs say meat onion taste mouth money tasted better fooled made way across street order watching make taste better soft steak chopped onions regular american cheese good less gents winner hands ,order better cheese well first ,1,1,1
53,Positive,came others saturday right prime time best accommodate since sure sit go watch really special treat bartender nice us garlic shrimp love garlic husband got crab sangria bar tapping sangria need try ,since bartender really came nice ,1,1,1
123,Negative,give gave though better review places ok drier disappointed thought steak giants serve let shot garlic italian bring party bet make tastes times better places sure ,better though review steak gave ,1,1,1
82,Positive,rivalry foodie die hard steak fan expect hoards people line worry line fast know want read telling order nonsense philly first cheese move taste testing whiz wit cheese ordered medium chopped size ,move fast know people ordered ,0,0,0
117,Negative,pa famous cheesesteaks reading many reviews forced friends road trip allentown philly sole mission cheesesteaks cold winter completely unaware indoor traveling arrived quickly lingo attitude eat got wiz think amazing overpriced cash bread good probably since cheesesteak grease domi ,cheesesteak think eat bread domi ,0,0,0
59,Positive,say enough experience nai tapas group friends came day went serve us high tables dates back knowledgeable many tapas delicious came away ordered different tapas pitchers white standouts ham croquettes eat fish good well however really accidentally brought order pointed touched yet bring told us keep whole sangria told well apologize ended tip alcohol seen service let alone restaurant recommend good food back unpretentious outstanding service ,service away alcohol day bring ,0,0,0
150,Negative,part series weekend least edible bowels eventually disagree assertion tasted typical greasy entirely much money long questioning now wrong philly two famous another thing deal bread science suppose insulting sounds steak cheese wiz hard ,another long two cheese steak ,0,0,0
74,Positive,genos pats better personally pats used great read cheaped poor customer service huge tourist along sightseeing tours know go stay away great steaks even order cover cost bottom something everyday enjoy ,service away even know go ,0,0,0
788,Negative,meh table sitting patio salad ok wrong everything else salad bland bland tasted dressing lacked peppercorn taste promised service unattentive side minutes empty plus almost sure will try ,will sitting side table patio ,0,0,0
