Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
22,Positive,evening first must make reservation want see flamingo dancers thursday evening dã clean small tables wooden world wood items make old wine cellar went group tasty make large plates item large larger plates much better deal back seconds will say sangria now part flamingo dance show totally surprised two female dancers turned everyone feet job unattractive flaming place will back deelish ,place evening job show thursday ,0,0,0
123,Negative,give gave though better review places ok drier disappointed thought steak giants serve let shot garlic italian bring party bet make tastes times better places sure ,better though review steak gave ,1,1,1
205,Positive,passed location ave time try jamaican curry enough two tender bone nicely peas nice nice clean reason try jerk wrap first place great jamaican new everywhere travel now good ,place location good now jerk ,1,1,1
2221,Negative,due went dinner last life said took minutes open wine pour us simply order modification barely acknowledged literally ask check modification done entree came mia tell wrong remained empty see time guy gotten small lucky conscience hard come back decent prices fun ,dinner order time modification life ,0,0,0
34,Positive,best birthday put words amazing service give stars food give everybody uno times visited super duper friendly actually working hiding brought homemade cake celebrate us eat frown upon uno nice cake kitchen brought even left uno tip course token appreciation coconut filling will life also go favorite chorizo con also already many many times ever go places will definitely return soon foodcomalogs coâ blogspot ,service definitely times return even ,1,1,1
925,Negative,begin saying meh really ing people say give place least two high place serves variety breakfast day day food turkey reuben first visit reinvent reuben least well triangles pita bread almost sauerkraut cheese quesadilla without salsa times found mediocre think high quality ingredients worst brownie pastry worst ever extremely taste behind nice enough offer something decided cut latte head artisan real pastry say least staff including guy pretty saying close breakfast coffee side note need policy ago presence bozo clown really brought ambience customer another reviewier seem also boulanger lot hard got audience true ,another behind think two cheese ,0,0,0
19,Positive,city promise years opened thank able accommodate night food always ajillo pulpo la octopus mussels variety usually tapas rest table spain twice feels menu sometime year awesome well service excellent miss free flamenco thursdays shows awesome run close hour make sure make reservation wanna think around weeks safe made last advance make take parents graduation staff shocked feels little delicious spain middle village close times wait ,service times feels flamenco octopus ,1,1,1
177,Negative,big alright paid freaking home decorated famous people building bright speak english thing heavy couldnt understand godfather sapranos wit witout wait proper dont isnt great stupid working christ sakes ,big great christ wait building ,1,1,1
14,Positive,kidney tripe different dishes specials pros food northhaven ct tripe appetizer rice good definitely fried rice chinese food area sucks intestine dish got sauce kind bland care much update review ,definitely rice specials food good ,1,1,1
336,Negative,decor industry styled see one blindside mistakes place styled hired make look diner buy image hipsters keep opinion whatever seems cuz always distance always wanted lots character vintage kitschy open mom pop essence personality sometimes abbrasive owner abundance decor tacky framed forever photos classic effort offer tyme egg old skool enviroment adjustments standard hoped world find say close way line hill hipsters love good dun lot menu finding one thing especially good nothing breakfast average tried things pancakes enough greasy person standards see hype go neighborhood something way better food shane doors admitted cuz usually blueberry one time microwaved menu lot typical diner fare ask specifically mentioned time made big deal rude asked since menu seemed baffle request thing made weird diner even sub par city officially judge fully limitations within say everything makes either ok roast dinner mood closing whatever plastic year song written hanging opinion hater damnit ,dinner time better big always ,1,1,1
301,Positive,online waiting seated cookie orange slices staff use card convenience atmosphere feel home anytime bang buck enough catch afternoon brooklyn washington avenue stroll date getting know place phones discouraged plenty time talk waiting enjoying ,place feel orange date bang ,0,0,0
553,Negative,service place friends ordered food looked nice eye appeal portions price shots lager tune continental strikes place great went monday morning fare less pomp circumstance ,continental great eye price less ,1,1,1
102,Positive,shame visit corner us place world even stars go clean seat go day seem bready steak place world joey alert veggie philly nice onions sauce ,place even day onions veggie ,0,0,0
174,Negative,circumstances near meat sarah whole touristy lots fobby camera eat infamous min line entertaining pictures anit patriotism letters hung walls disappointed britney dining importantly sarah eating meat yack ,eat disappointed eating fobby britney ,1,1,1
42,Positive,fun night managed find bar great huge fan barcelona met really dishes tapas raciones night impressive performance talented passionate dancers place celebrate people special occasion taught flamenco ,place fun find flamenco celebrate ,0,0,0
380,Negative,issue underdogs goes stretches limit past breaking point dogs others city lack detail incredibly frustrating dogs cart drop two dogs lunch still want little price even service friendly without fail every order dog something discernibly time california dreamin adonis includes avocado rather seemed ladled top soupy soaked lemon mustard fairly churning sauce problem tzatziki turned everything big problems georgia come enough pepper dog underdogs use anything questions series man wish known experiences avocado shied sauce expensive dogs easy city boxes dog ,order time dog big two ,0,0,0
194,Positive,thai center city three appetizers spring things best awhile main got beef probably spicy future though gf one incredible place one con service attentive extremely understandable ,service place things attentive appetizers ,1,1,1
128,Negative,philly cheesesteak essential food represents definitely place came friends coworkers two rivals across street trying pats across street good pats mention presentation tasteless dry beef taste cheese bread hard chew gum making bread without store bright neon highly owner spend less money ,cheesesteak two cheese neon without ,0,0,0
70,Positive,excellent steak know joints seriously one four five way better tony people order steak steak order give fries never media telling order way think poor think hate joey patronize views hate lot one reviews ,know people joey never four ,0,0,0
130,Negative,listened local yelpers started probably higher rating departure cheesesteak geno pat geno won bread fresh tasty greasy establishments fellow definitely trap appeal taste city folks will cheesesteak proud ,will cheesesteak bread probably trap ,0,0,0
359,Positive,going knock sometimes clothes ripped tee may judged sure outfit anyway always astounded drinks every go member called team gay us urban dictionary bringing knock sat believe opening night qfest happening inside walked thought many instead subdued older crowd crooning songs sure considered really boring mic sing gaga even karaoke booooring drink alcohol getting completely vodka bars drinks strong near future ,alcohol even inside bars older ,1,1,1
854,Negative,penn student city think restaurant looks perfect charming bistro take de dinner bar laid back locally sourced menu pictures dogs food mediocre honey delightful stuffed fingerling everything else tastes expect busy one cares ,dinner take think student bar ,0,0,0
347,Positive,food end quality service slow months later quality great yet service still pretty slow wait place great eat tastes ad portion sizes wonderful prices also cuban little delver tough grading ,service place quality tough months ,1,1,1
91,Negative,steaks huge letdown big lights overdone signs expected really unfortunately fanfare must stale couple pieces mildly warm steak small amount time place hype live expectations ,time big steak small unfortunately ,1,1,1
33,Positive,breath air overpriced places tapas bar good assortment plates laid back atmosphere friendly food ambiance bars spain anything simple clogging meet shoot breeze rojo gambas ajillo manchego jamon setas pitcher sangria ,bars friendly ajillo pitcher spain ,1,1,1
410,Negative,cuban new haven sadly cuban cuban cheap accessible alike soul de neither apply place pretentious cuban cuban food good home food presentation adding ingredient cool name misses mark food shaped unnatural mounds meat caramel tasted caramel cramped despite people group rather bigger table next revisit cuban cuban food ,cheap table next home name ,1,1,1
108,Positive,said everyone best reason think better grab go half will see taste witout seems might whole steak whole pieces argument surprisingly bad prime games etc one places go least inevitably asked town go good cheesesteak ,witout whole good everyone half ,1,1,1
374,Negative,friends visiting quick make special sub par also buns terrible dry bun way will fantastic menu creative ideas place sufficient late night bar crowd degrees instead go ,special will also bar bun ,0,0,0
240,Positive,unfortunately tight friend came city small arrived large party sitting space restauant rave rotisisserie also rice peas uhm uhm alll delicious juicy tender peas cooked tasty really didnt enough monfongo ordered pieces wow especially prices food next lunch will definitely return spot ,definitely return rice juicy tight ,0,0,0
841,Negative,huge fan white dog grew west always went celebratory nights bolognese delicious die fresh fries main think will appears last across street remember last year burger cheaper happy hour offer anymore happened disappointing guessing increase price absurdly wooden menus things nice locally made established small select take food ,will take think dog nights ,0,0,0
27,Positive,place came celebrate claustrophobic drawback ppl move bump someone highly recommend reservations plus wants table become ok regular glass sangria delicious huge whether half pitcher glass strong delicious ordering pitcher try sangria flavors def prefer regular keep mind glass sufficient deny wanting try many flavors yum empanadas pollo ajillo mmmmmm good ok reminded cooking give four two ppl also constantly bread basket nice bc able use taste sauce meatballs flamenco show suppose start cherry dinner unfortunately blocked stage enjoy performance music bday place bday ,place move prefer show flamenco ,1,1,1
139,Negative,south philly trash shitty going experience employees resent bothering especially man character slices bread sandwiches complete give worth whatever charge cents better whose undigestible shop going usually hour people asleep long money fear sight shove hand streamlined wit originated naturally mandatory sometimes hear say slink happy sandwiches mr joey vento jed clampett mr vento comes lovable made seems nice guy aside political views imagine jed clampett went terrorists middle eastern forgiven grounds rich overindulged another bad taste firefighter hates cops top pandering really giant plaque jamal right front dissuade anyone gentleman middle night labeled country granted got keying year meat continent america ,another better comes long hour ,1,1,1
266,Positive,pleasantly surprised reading nice sitting counter milk ordered huge extra two glasses brought share party ate hamburgers wrap milk shake everything prices upscale neighborhood cash ,extra neighborhood everything nice brought ,1,1,1
173,Negative,thought make trip really sure gave basically standing order steak cheese steak sandwich tastes pretty good whiz without dw meat legitimately give now realize say ,order cheese without steak gave ,1,1,1
74,Positive,genos pats better personally pats used great read cheaped poor customer service huge tourist along sightseeing tours know go stay away great steaks even order cover cost bottom something everyday enjoy ,service away even know go ,1,1,1
122,Negative,visiting traditional cheesesteak went bit noon parking bad expected street parking away much time leaving around line already pretty tacky say guys seemed food seconds think really reading signs example english deporation ignorance managed cross fries coke cheesesteak american cheese different order cheesesteak one window pay move window order pay signage prettttty meat gray ish long onions really roll looked grease napkins went good number digestible however tasty fries cheez although cheese sunk bottom really much go back another try especially across street reason go good food obnoxious really ,another cheesesteak order time think ,0,0,0
507,Positive,starr philly offer bet towners took weekend hour even us drinks rooftop trendy lighting couches one portion sizes smaller tapas expected dishes among us adventurous eaters salad sizes smaller couple ago cheese must ,even rooftop smaller towners philly ,0,0,0
2186,Negative,came party reservations make sense since will waste saying tables will much food noise level earned star atmosphere design juan attentive recommend place weekday full crazy weekend ,will tables much sense recommend ,0,0,0
261,Positive,ordered dinner large plain chicken margarita piccata dinner best ny style pizzas area son best star tavern orange different style pizza delivery always tastes better parm sub entrees really fresh ingredients portion sizes entrees instance also woman took order entrees vegetables mashed potatoes well small side salad fine us know little better seemingly hundreds pizzarias mile well worth going back restaurant future ,margarita fresh parm orange mashed ,1,1,1
117,Negative,pa famous cheesesteaks reading many reviews forced friends road trip allentown philly sole mission cheesesteaks cold winter completely unaware indoor traveling arrived quickly lingo attitude eat got wiz think amazing overpriced cash bread good probably since cheesesteak grease domi ,cheesesteak think eat bread domi ,0,0,0
