Topic_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
3843,AUTO,jfox hooksett east sun john fox sunexpress ir rush fast article unisql uucp wrat wharfie mentor cc purdue marshatt feserve zauberer guess clear enough said roads designed speeds still safe current will add saftey margin upwards forget exact spec military vehicles dodge powerwagon ford taurus ah yes now vehicle cars touch terms high speed road holding ability ,terms upwards spec touch ability high forget speed mentor safe ,0,1,1
6545,MEDICINE,mrb cbnewsj cb att bruncati lungs article kuhub cc ukans bennett long take clear tar quitting chances getting lung cancer decrease quickly considerable amount time happen seems read either recent ny times science maybe news evidence ex risk never returns person smoked think may close find post since memory hazy specifics interested michael ,long clear quit cc lung never quickly risk cb think ,1,1,0
3558,AUTO,steve green csiro au subaru liberty owners station wagon months now saying happy understatement great well built handles beautifully plenty power trip mountains narrow windy dirt road often parts ease havent much fun driving car years hey rocky watch pull rabbit hat comms group trick never works branch sleeve presto australia doubt gotta another ,handles never parts power narrow well haven built much trip ,1,1,1
6505,MEDICINE,bennett kuhub cc ukans lungs long take clear tar quitting chances getting lung cancer decrease quickly considerable amount time happen ,cancer quit quickly clear decrease lung long cc amount uk ,0,1,1
3720,AUTO,grady world std dick seating ergonomics headroom article amiller almaden ibm alex miller physical therapist suggested good driving position back nearly vertical knees much higher hips cars particularly respect well designed seat height take look mini vans sat dodge caravan high plenty salem nh usa many newsgroups little time ,well little suggested respect height dodge designed cars nearly hips ,1,1,0
6504,MEDICINE,uabdpo dpo uab stephen holland lactose intolerance article husc harvard ho leung ng kid primary school used drink tons milk without problems however nowadays hardly experiencing discomfort responsible change became older intestine normalized weaned state tolerance unusual adults mammals except sapiens northern european origin asian descent assumption based name loss lactase normal steve ,problems normal sap int experiencing responsible assumption loss state primary ,1,1,1
3917,AUTO,reid ucs indiana frank kuebelwagen article mentor cc purdue thwang tommy hwang sorry mis spelling forgot spell series exams hand reference still possible cute wwii vw jeep wanna replica great think tkh thing kubelwagen lookalike manufactured mexico possibly south america good luck importing one probably meet us safety pollution requirements mechanics junkyards specialize might helpful finding unless re enacters grabbed german equivalent wheel drive display patton museum fort knox kentucky also rare schwimwagen sp amphibious version full scale dioramas highly recommended ,highly di recommended helpful sorry unless finding rare wwii still ,0,1,1
6643,MEDICINE,mossman cea berkeley amy msg sensitivity superstition article lmpsbbs comm mot dougb doug bank another anecdotal story picky eater never wanted try chinese food however finally tried order please girl seeing time heard restaurant syndrome group us went shared different dishes taste great decided bad home bed early woke puked guts outs threw long kidding pulled muscle tongue dry heaves everything one else got sick allergic anything know suffice say wont go unless physically threatened smell makes ill psycholgical reaction dragged suffer beef broccoli without sauces insist gotten yet similar came completly conclusion eaten ages problems malaysian friends swanky chinses rest ordered lots stuff seen thing remember meal first course scallops served shell soy type sauce thought well coincidence night sat bathroom floor sweating emptying stomach hard way touch scallop may want take chance ,bad ce an sc hard long muscle another dry pu ,1,1,0
3968,AUTO,uxa cso uiuc oriolefan opel owners mliggett silver ucs indiana matthew liggett dg news boyle cactus org craig article gibbonsa fraser sfu ca darren gibbons looking information cars now ask model well sad truth entirely sure two seater roll headlights hard top really sporty friend one sitting yard nice condition body wise transmission seized run anyone info engine compartment looks tight work fine shape quite interested thanks manta sold buick dealers mid price leader sounds lot gt guess chassis kadett rather bigger easily wrong think later opels european name pretty pontiac lemans early chintan amin university illinois urbanachampaign llama sig construction hat area bzzt door sedan us sometimes referred also ve hot fun iugold bitnet collector toys kid antiauthoritarian fan frogs iguanas herps funny europe look surprisingly alluded original poster ,interested work man shape anyone sad looks tight truth quite ,0,1,0
6524,MEDICINE,jim zisfein factory migraine exercise jl jlecher pbs org classify mild headache continuous weeks even typical features unilateral nausea vomiting photophobia migraines common agreement episodic rather constant well glad doctor still suffering remember tested cause nothing otherwise healthy nagging pain one side frequently included entire right arm leg eye tongue hurt tingled noise light thinking got bad lose ability read differential diagnosis non migranous always important therapies effective tricyclic antidepressants amitriptyline steroidal anti inflammatory drugs ibuprofen may beta blockers propranolol work better tension type thing perspective relief also please understand necessarily mean psychogenic suspect organic factors play large role slmr ,bad mean nausea noise un factory lose mild mig sl ,0,1,1
