Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3,Label4,Label5
56,Positive,phenomenal tapas great takes friday night dinner love food six practically ordered list favorites mejillones croquetas bacalao count pitchers sangria simply service waiter accommodating dining experience definitely ,tapas great night love six ,1,0,1,1,0
76,Negative,great debate cheese bunch friends visited philly march earlier bread liked meat chopped meat dry well pretty guess afford lot english turned place states work really ,debate cheese friends philly bread ,1,0,1,1,0
8,Positive,aside etc taiwanese formosa granted cuisines pretty find differences wife food home trek glastonbury check worth owners majority waitstaff legit let everything surprise beef noodle soup rainbow spicy shredded shoots sautã ed bean freaking delicious highly recommended guaranteed good authentic going ,etc taiwanese granted pretty trek ,0,1,0,0,0
37,Negative,spanish tapas makes sense walked tried already waiter shook said lot spanish spaniards suspect changed spaniards fear mind without knowledge case spaniards assume now way thing place atmosphere adorable care quality date place amazing skeptical level basement room brick facade dimly lit soft red cozy insta place guy want think little little fun wrapped back able meager order sausage dry chewy otherwise dish octopus pieces chunks good grasp long travel mouth sangria service great friendly man pop occasionally least expected vibe perfect go back sure sit bar friends ,walked tried already waiter said ,0,1,0,0,1
2,Positive,memorable quality name live tasteless simply toast time got someone owns chhaya high qualityingredients superb cooking city distinctly uncomplicated salads list sides classic egg done fussiness center hate server pronounce menu phrase english fare streamlined want still slightly cheese meat mode morning midday toast center city ,name toast someone city salads ,0,1,1,0,0
74,Negative,visit thing since tell different said hey span needless review famous spots wiz provolone ordering pretty meat others one pretty chewy pretty much sandwich experience right ordered wished tried wiz bread onion bread tony wait free sweet pretty enough onions flavorful place seems popularity think might newer four spots pretty long right glass pane front unorganized forgot give order sweet peppers one attitude top sandwich lacking flavor though old check dining find autographed photos celebs demzel washington haha rating best will one clear title many opinions tasting run miles afterwards ,visit thing since tell said ,0,1,0,1,0
27,Positive,air overpriced tapas places city nai bar good assortment tasty small back friendly waiters ambiance spain flavorful artery great meet friends gambas ajillo least giant pitcher sangria ,air tapas city good tasty ,0,0,0,0,1
11,Negative,recent disappointments gotten food hill typical food price last times terrible find waitress waiting long never allow daughter menu shes able finish entire way go family must say lunches good ,recent disappointments gotten food price ,1,0,0,0,1
12,Positive,restaurant go really food beef ma po great nice spicy good really jjajangmyeon also chasiubao also excellent fu qi fei service good definitely favorite chinese food middletown whole ton people oh serve ,really beef ma great nice ,0,1,1,1,0
101,Negative,good cheesesteak many places philadelphia offering cheesesteak sandwiches twists people different things location filled outdoor seating one remains go least life bucket list rather later ,cheesesteak many places offering people ,0,0,1,1,0
